,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
3794,1.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,500,1,1,1125,365,1
3048,1.0,0,0,0,1,0,1,1.0,1.0,1,0,0,0,19,1,1,1125,0,0
7140,8.0,1,0,0,0,0,14,3.0,6.0,1,0,0,0,499,1,3,1124,303,95
2757,1.0,0,0,0,1,0,4,1.0,1.0,1,0,0,0,225,1,1,1125,0,0
7549,18.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,79,1,2,1125,222,26
2867,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,89,1,1,1125,194,0
8631,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,50,1,1,30,0,3
8737,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,181,1,1,14,88,0
8568,1.0,1,0,0,0,0,4,2.0,3.0,1,0,0,0,100,1,60,150,0,0
6262,3.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,99,1,2,1125,215,39
2367,1.0,1,0,0,0,0,2,3.0,2.0,1,0,0,0,63,1,7,56,0,2
180,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,45,1,1,1125,0,1
2815,1.0,1,0,0,0,0,10,4.0,4.0,1,0,0,0,500,1,1,1125,0,1
4353,1.0,1,0,0,0,0,6,2.0,3.0,1,0,0,0,125,6,2,1125,0,20
1972,1.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,375,1,1,1125,0,0
3654,1.0,1,0,0,0,0,12,3.0,6.0,1,0,0,0,675,10,1,1125,165,26
566,1.0,1,0,0,0,0,5,3.0,3.0,1,0,0,0,125,1,3,15,0,1
3264,1.0,1,0,0,0,0,10,2.0,4.0,1,0,0,0,999,1,3,6,0,1
4623,2.0,0,0,0,1,0,2,2.0,1.0,1,0,0,0,52,2,1,10,0,8
6502,4.0,0,0,0,1,0,3,1.0,1.0,1,0,0,0,105,1,7,1125,0,2
6907,6.0,1,0,0,0,0,4,3.0,1.0,1,0,0,0,159,5,1,18,62,2
7650,24.0,1,0,0,0,0,15,5.0,5.0,1,0,0,0,3760,15,3,365,106,0
